
"Users","Users"
"Add New User","Add New User"
"User Name","User Name"
"First Name","First Name"
"Last Name","Last Name"
"Email","Email"
"Password","Password"
"Telephone","Telephone"
"Status","Status"
"Action","Action"
"Edit","Edit"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Change status","Change status"
"Status","Status"
"Save User","Save User"
"Delete User","Delete User"
"Edit User '%s'","Edit User '%s'"
"New User","New User"
"Role","Role"
"Save Account","Save Account"
"My Account","My Account"
"Confirm Password","Confirm Password"
"Roles","Roles"
"Add New Role","Add New Role"
"Role Name","Role Name"
"Save Role","Save Role"
"Delete Role","Delete Role"
"Edit Role '%s'","Edit Role '%s'"
"New Role","New Role"
"Role Information","Role Information"
"Role Info","Role Info"
"Role Resources","Role Resources"
"Manage Sub Accounts","Manage Sub Accounts"
"Item does not exist","Item does not exist"
"Manage Sub Accounts","Manage Sub Accounts"
"Manage Sub Accounts","Manage Sub Accounts"
"Manage Sub Accounts","Manage Sub Accounts"
"Edit Account","Edit Account"
"Add Account","Add Account"
"Item does not exist","Item does not exist"
"Account was successfully saved","Account was successfully saved"
"Unable to find item to save","Unable to find item to save"
"Item does not exist","Item does not exist"
"Item was successfully deleted","Item was successfully deleted"
"Please select item(s)","Please select item(s)"
"Item #%s does not exist","Item #%s does not exist"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Please select item(s)","Please select item(s)"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"My Account","My Account"
"Account was successfully saved","Account was successfully saved"
"Manage Roles","Manage Roles"
"Edit Role","Edit Role"
"Add Role","Add Role"
"Item does not exist","Item does not exist"
"Role was successfully saved","Role was successfully saved"
"Sub Accounts","Sub Accounts"
"______","______"







