
"Add option","Add option"
"Title","Title"
"Sort Order","Sort Order"
"Action","Action"
"Save","Save"
"Use Default Value","Use Default Value"
"Delete","Delete"
"This option is already exist.","This option is already exist."
"This is a required field.","This is a required field."
"Are you sure?","Are you sure?"
"Options have been saved successfully.","Options have been saved successfully."
"Vendor Attribute Options","Vendor Attribute Options"
"Allow attributes working with adding option.","Allow attributes working with adding option."






