"ID","ID"
"Name","Name"
"Attrib. Set Name","Attrib. Set Name"
"Status","Status"
"SKU","SKU"
"Image","Image"
"Price","Price"
"Qty Before Adjusting","Qty Before Adjusting"
"Qty After Adjusting","Qty After Adjusting"
"CSV","CSV"
"XML","XML"
"Adjusted Qty","Adjusted Qty"
"Stock Adjustment Information","Stock Adjustment Information"
"Adjust Stock","Adjust Stock"
"Save","Save"
"Cancel","Cancel"
"Confirm","Confirm"
"Resum Confirming","Resum Confirming"
"Adjust Qty. does not accept negative values or blank. Please enter a valid value.","Adjust Qty. does not accept negative values or blank. Please enter a valid value."
"Are you sure you want to save this stock adjustment?","Are you sure you want to save this stock adjustment?"
"Are you sure you want to confirm this stock adjustment?","Are you sure you want to confirm this stock adjustment?"
"Are you sure you want to cancel this stock adjustment?","Are you sure you want to cancel this stock adjustment?"
"View Stock Adjustment No. ","View Stock Adjustment No. "
"Add Stock Adjustment","Add Stock Adjustment"
"Adjustment Date","Adjustment Date"
"Adjusted Warehouse","Adjusted Warehouse"
"Action","Action"
"Edit","Edit"
"Created on","Created on"
"Created by","Created by"
"Pending","Pending"
"Completed","Completed"
"Canceled","Canceled"
"Processing","Processing"
"View","View"
"Processing Stock Adjustment","Processing Stock Adjustment"
"Redirecting to review stock adjustment page...","Redirecting to review stock adjustment page..."
"There was error while processing! Try again.","There was error while processing! Try again."
"Finished all processes.","Finished all processes."
"Create New Adjust Stock","Create New Adjust Stock"
"Quick simple product creation","Quick simple product creation"
"Autogenerate","Autogenerate"
"Qty","Qty"
"Stock Availability","Stock Availability"
"In Stock","In Stock"
"Out of Stock","Out of Stock"
"Select Warehouse for Product","Select Warehouse for Product"
"Select Supplier for Product","Select Supplier for Product"
"Quick Create","Quick Create"
"Name in %s","Name in %s"
"Type","Type"
"Avail. Qty","Avail. Qty"
"Visibility","Visibility"
"Websites","Websites"
"Notify Low Stock RSS","Notify Low Stock RSS"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Change status","Change status"
"Update Attributes","Update Attributes"
"Import Settings","Import Settings"
"Entity Type","Entity Type"
"Import Behavior","Import Behavior"
"Select File to Import","Select File to Import"
"Import Magento Data","Import Magento Data"
"Redirecting to the dashboard...","Redirecting to the dashboard..."
"An error has occurred while processing! Please try again.","An error has occurred while processing! Please try again."
"Item information","Item information"
"Title","Title"
"File","File"
"Content","Content"
"Item Information","Item Information"
"Save Item","Save Item"
"Delete Item","Delete Item"
"Save And Continue Edit","Save And Continue Edit"
"Edit Item ","Edit Item "
"Add Item","Add Item"
"Item Content","Item Content"
"Item Manager","Item Manager"
"Manage Stock Adjustments","Manage Stock Adjustments"
"Redirecting to review page...","Redirecting to review page..."
"Please tick first column on the box to edit","Please tick first column on the box to edit"
"Phys. Qty","Phys. Qty"
"Total Phys. Qty","Total Phys. Qty"
"Total Avail. Qty","Total Avail. Qty"
"Warehouse","Warehouse"
"Supplier","Supplier"
"Manage Stock","Manage Stock"
"Products","Products"
"Update Stock In-grid","Update Stock In-grid"
"Are you sure you want to update Qty. of products?","Are you sure you want to update Qty. of products?"
"Warehouse Information","Warehouse Information"
"Is Primary Warehouse","Is Primary Warehouse"
"Set primary warehouse","Set primary warehouse"
"Warehouse Name","Warehouse Name"
"Manager","Manager"
"Telephone","Telephone"
"Street","Street"
"City","City"
"Country","Country"
"State/Province","State/Province"
"Zip/Postal Code","Zip/Postal Code"
"Latitude","Latitude"
"Longitude","Longitude"
"Action Owner","Action Owner"
"Time Stamp","Time Stamp"
"Admin ID","Admin ID"
"User Name","User Name"
"Edit Warehouse","Edit Warehouse"
"Physical Qty","Physical Qty"
"On Hold Qty","On Hold Qty"
"Sales Staffs","Sales Staffs"
"Information","Information"
"Stocks On-Hand","Stocks On-Hand"
"Permission","Permission"
"Change History","Change History"
"Save Warehouse","Save Warehouse"
"Reset Information","Reset Information"
"Delete Warehouse","Delete Warehouse"
"View Warehouse ","View Warehouse "
"Add Warehouse","Add Warehouse"
"Created By","Created By"
"Enabled","Enabled"
"Disabled","Disabled"
"Primary Warehouse","Primary Warehouse"
"Yes","Yes"
"No","No"
"yes","yes"
"no","no"
"Manage Warehouses","Manage Warehouses"
"The stock adjustment has been successfully canceled.","The stock adjustment has been successfully canceled."
"Dashboard","Dashboard"
"Warehouses","Warehouses"
"Settings","Settings"
"Webpos Location","Webpos Location"
"Return stock when customer refunds - Creditmemo #","Return stock when customer refunds - Creditmemo #"
"Shipment for order #%s","Shipment for order #%s"
"view","view"
"Skipping import row, required field ","Skipping import row, required field "
"Skipping import row, store ","Skipping import row, store "
"Skip import row, is not valid value ","Skip import row, is not valid value "
"Skip import row, the value ","Skip import row, the value "
"Cannot do shipment for order.","Cannot do shipment for order."
"Adjust stock Manager","Adjust stock Manager"
"Inventory","Inventory"
"Manage Adjust Stocks","Manage Adjust Stocks"
"Add New Adjust Stock","Add New Adjust Stock"
"Edit New Adjust Stock","Edit New Adjust Stock"
"Adjust Stock does not exist","Adjust Stock does not exist"
"You have not permission to adjust stock!","You have not permission to adjust stock!"
"Unable to find item to save","Unable to find item to save"
"The stock adjustment has been confirmed successfully.","The stock adjustment has been confirmed successfully."
"The stock adjustment has been saved successfully.","The stock adjustment has been saved successfully."
"Unable to find adjust stock to create","Unable to find adjust stock to create"
"Finished %s process.","Finished %s process."
"Starting %s.","Starting %s."
"Processed %s/%s records.","Processed %s/%s records."
"Stock does not exist!","Stock does not exist!"
"Unable to find warehouse to save stock!","Unable to find warehouse to save stock!"
"Perform Quick Update In-grid","Perform Quick Update In-grid"
"Unable to find warehouse to save!","Unable to find warehouse to save!"
"Item was successfully deleted","Item was successfully deleted"
"Warehouse does not exist!","Warehouse does not exist!"
"Cannot edit Warehouse","Cannot edit Warehouse"
"Can edit Warehouse","Can edit Warehouse"
"Cannot adjust Warehouse","Cannot adjust Warehouse"
"Can adjust Warehouse","Can adjust Warehouse"
"%s created this warehouse.","%s created this warehouse."
"Set %s to be this warehouse manager","Set %s to be this warehouse manager"
"Changed permission of %s for this warehouse.","Changed permission of %s for this warehouse."
"The warehouse is empty. You can add products by adjusting stock or requesting stock for sending stock to this warehouse.","The warehouse is empty. You can add products by adjusting stock or requesting stock for sending stock to this warehouse."
"The warehouse has been created.","The warehouse has been created."
"The warehouse has been saved.","The warehouse has been saved."
"Warehouse was successfully deleted","Warehouse was successfully deleted"
"Inventory Management","Inventory Management"
"Stock On-Hand","Stock On-Hand"
"Stock Receiving","Stock Receiving"
"Stock Issuing","Stock Issuing"
"General","General"
"Configuration","Configuration"
"Allow Everything","Allow Everything"
"Magestore Extension","Magestore Extension"
"Inventory Configuration","Inventory Configuration"
"This adjust stock still is processing. You need to click on Resum Confirming button to complete it.","This adjust stock still is processing. You need to click on Resum Confirming button to complete it."
"Stock Adjustment Information","Stock Adjustment Information"
"Warehouse","Warehouse"
"View warehouse","View warehouse"
"Status: ","Status: "
"Created by: ","Created by: "
"Created on: ","Created on: "
"Import Products to Adjust Stock","Import Products to Adjust Stock"
"Please choose a CSV file to import","Please choose a CSV file to import"
"Import","Import"
"Example file","Example file"
"Download","Download"
"Products of Stock Adjustment","Products of Stock Adjustment"
"Choose Products for Stock Adjustment","Choose Products for Stock Adjustment"
"SKU","SKU"
"Excl. Tax","Excl. Tax"
"Total","Total"
"Incl. Tax","Incl. Tax"
"Ordered","Ordered"
"Invoiced","Invoiced"
"Shipped","Shipped"
"Refunded","Refunded"
"Canceled","Canceled"
"Supplier","Supplier"
"N/A","N/A"
"Inventory","Inventory"
"Manage Stock","Manage Stock"
"Yes","Yes"
"No","No"
"Use Config Settings","Use Config Settings"
"Physical Qty","Physical Qty"
"Avail. Qty","Avail. Qty"
"On Hold Qty","On Hold Qty"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Qty Uses Decimals","Qty Uses Decimals"
"Backorders","Backorders"
"Notify for Quantity Below","Notify for Quantity Below"
"Enable Qty Increments","Enable Qty Increments"
"Qty Increments","Qty Increments"
"Stock Availability","Stock Availability"
"Select Warehouse for Product","Select Warehouse for Product"
"Qty","Qty"
"Action","Action"
"Add Warehouse","Add Warehouse"
"Choose Warehouse","Choose Warehouse"
"Delete Warehouse Select","Delete Warehouse Select"
"Delete","Delete"
"This attibute was selected.","This attibute was selected."
"Select Supplier for Product","Select Supplier for Product"
"Select supplier for Product","Select supplier for Product"
"Cost","Cost"
"Supplier SKU","Supplier SKU"
"Add supplier","Add supplier"
"Choose supplier","Choose supplier"
"Delete supplier Select","Delete supplier Select"
"ID","ID"
"Warehouse Name","Warehouse Name"
"Status","Status"
"View Warehouse","View Warehouse"
"Enable","Enable"
"Disable","Disable"
"View","View"
"No warehouse found!","No warehouse found!"
"Supplier Name","Supplier Name"
"Last Purchase Order","Last Purchase Order"
"View Supplier","View Supplier"
"No supplier found!","No supplier found!"
"Product","Product"
"Price","Price"
"Return to Stock","Return to Stock"
"Return type","Return type"
"Return to","Return to"
"Qty to Refund","Qty to Refund"
"Subtotal","Subtotal"
"Tax Amount","Tax Amount"
"Discount Amount","Discount Amount"
"Row Total","Row Total"
"No Items To Refund","No Items To Refund"
"Credit Memo Comments","Credit Memo Comments"
"Refund Totals","Refund Totals"
"Append Comments","Append Comments"
"Email Copy of Credit Memo","Email Copy of Credit Memo"
"Last 10 Adjust Stock","Last 10 Adjust Stock"
"Recent Adjust Stock","Recent Adjust Stock"
"Date","Date"
"Warehouses","Warehouses"
"Created By","Created By"
"Confirm By","Confirm By"
"Confirm At","Confirm At"
"Dashboard","Dashboard"
"Last 10 Orders With Warehouse Shipment","Last 10 Orders With Warehouse Shipment"
"Recent Orders With Warehouse Shipment","Recent Orders With Warehouse Shipment"
"Order ID","Order ID"
"Items","Items"
"Grand Total","Grand Total"
"From","From"
"To","To"
"Information","Information"
"Qty Sent","Qty Sent"
"Qty Requested","Qty Requested"
"Hide Main Menu","Hide Main Menu"
"Show Main Menu","Show Main Menu"
"Inventory Plus","Inventory Plus"
"Loading...","Loading..."
"Please wait...","Please wait..."
"Starting process execution, please wait...","Starting process execution, please wait..."
"Warning: Please do not close the window during processing data","Warning: Please do not close the window during processing data"
"Notice was successfully sent!","Notice was successfully sent!"
"Image","Image"
