
"Submit Quote Request","Submit Quote Request"
"Continue Shopping","Continue Shopping"
"Remarks","Remarks"
"Do you have a general remark with this Quote Request?","Do you have a general remark with this Quote Request?"
"Request for Quote","Request for Quote"
"Product","Product"
"Price","Price"
"Qty","Qty"
"Email Address","Email Address"
"First Name","First Name"
"Telephone","Telephone"
"Company","Company"
"VAT/Tax Id","VAT/Tax Id"
"Your Quote Request has been received.","Your Quote Request has been received."
"Thank you for your interest!","Thank you for your interest!"
"Your quote request # is: %s.","Your quote request # is: %s."
"You will receive a Quote Request confirmation email with a link to track progress.","You will receive a Quote Request confirmation email with a link to track progress."
"No Items to display.","No Items to display."
"Click <a href="%s">here</a> to continue shopping.","Click <a href="%s">here</a> to continue shopping."
"SKU","SKU"
"Excl. Tax","Excl. Tax"
"Remove Item","Remove Item"
"Notes","Notes"
"My Quotes "," My Quotes"
"Quote ","Quote "
" Date"," Date"
"Your Remarks ","Your Remarks "
"Quote Status ","Quote Status "
"View Quote ","View Quote "
"You have placed no orders. ","You have placed no orders. "
"Quote Request #%s ","Quote Request #%s "
"Quote Request Date: %s ","Quote Request Date: %s "
"Customer Information ","Customer Information "
"Customer Name ","Customer Name "
"Remark with Proposal ","Remark with Proposal "
"Reject Proposal ","Reject Proposal "
"Confirm And Add To Cart ","Confirm And Add To Cart "
"Message History ","Message History "
"Submit Comment ","Submit Comment "
"Send ","Send "
"&laquo; Back to My Quotes ","&laquo; Back to My Quotes "
"Original Price ","Original Price "
"Proposal ","Proposal "
"Quotation Guest Form ","Quotation Guest Form "
"Quote Request Information ","Quote Request Information "
"Quote ID ","Quote ID "
"in process... ","in process... "
"Login Required ","Login Required "
"Add To Quote","Add To Quote "
"Comment with product ","Comment with product "
"Original Price ","Original Price "
"Price Proposal ","Price Proposal "
"Margin (GP) ","Margin (GP) "
"No records found. ","No records found. "
"Quotation Management ","Quotation Management "
"Last Update ","Last Update "
" Expiry Date","Expiry Date "
"Reminder Date "," Reminder Date"
"Customer Comment ","Customer Comment "
"Note ","Note "
"Not visible for customers ","Not visible for customers "
"Notify Customer by Email ","Notify Customer by Email "
"Notified ","Notified "
"Save ","Save "
"Save All","Save All "
"Item <strong>%s</strong> - %s is not allowed to update qty ","Item <strong>%s</strong> - %s is not allowed to update qty "
"This item is not allowed to edit. ","This item is not allowed to edit. "
