"Line Chart","Line Chart"
"Pie Chart","Pie Chart"
"Column Chart","Column Chart"
"Table Chart","Table Chart"
"Sales","Sales"
"Day of month","Day of month"
"Day of Week","Day of Week"
"Hour of day","Hour of day"
"Day","Day"
"Shipping Method","Shipping Method"
"Payment Method","Payment Method"
"SKU","SKU"
"Order Status","Order Status"
"Warehouse","Warehouse"
"Supplier","Supplier"
"Purchase","Purchase"
"Stock On-Hand","Stock On-Hand"
"Stock Movement","Stock Movement"
"Stock Received","Stock Received"
"Stock Issued","Stock Issued"
"Customer","Customer"
"Customer Purchasing","Customer Purchasing"
"Sales Report By Order","Sales Report By Order"
"No shipping","No shipping"
"Total Value","Total Value"
"Total Transaction Qtys","Total Transaction Qtys"
"Customers Report","Customers Report"
"Sunday","Sunday"
"Monday","Monday"
"Tuesday","Tuesday"
"Wednesday","Wednesday"
"Thusday","Thusday"
"Friday","Friday"
"Saturday","Saturday"
"Send stock to another Warehouse or other destination","Send stock to another Warehouse or other destination"
"Receive stock from another Warehouse or other source","Receive stock from another Warehouse or other source"
"Receive stock from Purchase Order Delivery","Receive stock from Purchase Order Delivery"
"Send stock to Supplier for Return Order","Send stock to Supplier for Return Order"
"Send stock to Customer for Shipment","Send stock to Customer for Shipment"
"Receive stock from Customer Refund","Receive stock from Customer Refund"
"Enabled","Enabled"
"Disabled","Disabled"
"Items Manager","Items Manager"
"Item Manager","Item Manager"
"Inventory","Inventory"
"Dashboard","Dashboard"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Item was successfully saved","Item was successfully saved"
"Unable to find item to save","Unable to find item to save"
"Item was successfully deleted","Item was successfully deleted"
"The dashboard has been saved.","The dashboard has been saved."
"The dashboard has been created.","The dashboard has been created."
"Unable to find dashboard tab to save","Unable to find dashboard tab to save"
"Dashboard tab was successfully delete","Dashboard tab was successfully delete"
"Unable to find dashboard tab to delete","Unable to find dashboard tab to delete"
"The chart has been created.","The chart has been created."
"The chart has been saved.","The chart has been saved."
"Unable to find chart to save","Unable to find chart to save"
"Allow Everything","Allow Everything"
"More details","More details"
"Select warehouse","Select warehouse"
"All warehouses","All warehouses"
"Qty","Qty"
"Grand Total %s","Grand Total %s"
"Days","Days"
"Customer Report","Customer Report"
"Grand Total","Grand Total"
"Purchase Report by SKU","Purchase Report by SKU"
"Purchase Report by Supplier","Purchase Report by Supplier"
"Purchase Report by Warehouse","Purchase Report by Warehouse"
"Sales Report By Day of Month","Sales Report By Day of Month"
"Sales Report By Day of Week","Sales Report By Day of Week"
"Sales Report By Hour of Day","Sales Report By Hour of Day"
"Sales Report By Payment Method","Sales Report By Payment Method"
"Sales Report By Day","Sales Report By Day"
"Sales Report By SKU","Sales Report By SKU"
"Sales Report By Supplier","Sales Report By Supplier"
"Sales Report By Warehouse","Sales Report By Warehouse"
"Sales Report By Shipping Method","Sales Report By Shipping Method"
"Sales Report By Status","Sales Report By Status"
"Report on Stock Received","Report on Stock Received"
"Report on Stock Issued","Report on Stock Issued"
"Stock On-Hand Report","Stock On-Hand Report"
"Number of Products","Number of Products"
"Total Qty of Products","Total Qty of Products"
"No. of products/ total Qty. Adjusted","No. of products/ total Qty. Adjusted"
"Grand Total/Total Qty","Grand Total/Total Qty"
"Product","Product"
"Total","Total"
"Date","Date"
"Warehouse","Warehouse"
"Product Adjusted","Product Adjusted"
"Qty after Adjusting","Qty after Adjusting"
"Total Qty","Total Qty"
"Supplier","Supplier"
"Total Orders","Total Orders"
"Total Qty Requested","Total Qty Requested"
"Total Value","Total Value"
"Edit chart %s","Edit chart %s"
"Chart Name","Chart Name"
"Report Type","Report Type"
"Chart Type","Chart Type"
"Save","Save"
"Cancel","Cancel"
"Chart name","Chart name"
"Please select a report type first.","Please select a report type first."
"Create new dashboard","Create new dashboard"
"Edit this dashboard","Edit this dashboard"
"Add a new chart to this dashboard","Add a new chart to this dashboard"
"Add New Chart","Add New Chart"
"New Dashboard","New Dashboard"
"Dashboard Name","Dashboard Name"
"This is a required field.","This is a required field."
"Add","Add"
"Please select a group type","Please select a group type"
"Edit dashboard ","Edit dashboard "
"Are you sure you want to delete this dashboard?","Are you sure you want to delete this dashboard?"
"Delete this dashboard","Delete this dashboard"
"Drag and drop the chart to change its position.","Drag and drop the chart to change its position."
"Are you sure you want to delete this chart?","Are you sure you want to delete this chart?"
"Delete chart","Delete chart"
"Edit chart","Edit chart"
"View report","View report"

