"Frontend App Options","Frontend App Options"
"Navigation Type","Navigation Type"
"-- Please Select --","-- Please Select --"
"Navigation template is not defined on "%s" page group","Navigation template is not defined on "%s" page group"
"Category information","Category information"
"Name","Name"
"Parent Category","Parent Category"
"Is Active","Is Active"
"Sort order","Sort order"
"Url Key","Url Key"
"Description","Description"
"Page Layout","Page Layout"
"Hide All Products","Hide All Products"
"Meta Data","Meta Data"
"Page Title","Page Title"
"Meta Keyword","Meta Keyword"
"Meta Description","Meta Description"
"Category Information","Category Information"
"Save Category","Save Category"
"Delete Category","Delete Category"
"Save And Continue Edit","Save And Continue Edit"
"Edit Category '%s'","Edit Category '%s'"
"Add Category","Add Category"
"Category ID","Category ID"
"Name","Name"
"Is Active","Is Active"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Category Manager","Category Manager"
"New Category","New Category"
"Categories","Categories"
"Catalog","Catalog"
"Manage Categories","Manage Categories"
"Edit Category","Edit Category"
"Add Category","Add Category"
"Item does not exist","Item does not exist"
"Item was successfully saved","Item was successfully saved"
"Unable to find item to save","Unable to find item to save"
"The category has been deleted.","The category has been deleted."
"Please select category(s)","Please select category(s)"
"-- All Categories --","-- All Categories --"
"Vendor Category Url Rewrite","Vendor Category Url Rewrite"
"Index categories URL rewrite","Index categories URL rewrite"
"No layout updates","No layout updates"
"Empty","Empty"
"1 Column","1 Column"
"2 Columns Left","2 Columns Left"
"2 Columns Right","2 Columns Right"
"3 Columns","3 Columns"
"Left Column","Left Column"
"Main Content Area","Main Content Area"
"Category Top Main Content Area","Category Top Main Content Area"
"Category Bottom Main Content Area","Category Bottom Main Content Area"
"Top Navigation Bar","Top Navigation Bar"
"Page Bottom","Page Bottom"
"Page Footer","Page Footer"
"Page Header","Page Header"
"Page Top","Page Top"
"Right Column","Right Column"
"Frontend app type class is not defined for "%s"","Frontend app type class is not defined for "%s""
"Block Reference","Block Reference"
"All","All"
"Specific Categories","Specific Categories"

