
"Vacation","Vacation"
"Vacation Date From","Vacation Date From"
"Vacation Date To","Vacation Date To"
"Disable All Products","Disable All Products"
"All of your product will not be displayed on main website on vacation date.","All of your product will not be displayed on main website on vacation date."
"Vacation status","Vacation status"
"Yes","Yes"
"No","No"
"On","On"
"Off","Off"
"Message","Message"
"Vacation","Vacation"
"Vendor ID","Vendor ID"
"Vacation Message","Vacation Message"
"Date From","Date From"
"Date To","Date To"
"Disable All Products","Disable All Products"
"Vacation Status","Vacation Status"
"Information","Information"
"Vacation information","Vacation information"
"View vacation of vendor '%s'","View vacation of vendor '%s'"








