selector_id,element_name,element_tab,element_group,element_type,element_selector,element_attrs,template,position,status
18,"Search Backgound Color",general,header-main,text,#search,background-color,,0,1
17,"Custom Css Code",general,header-main,textarea,#header,background,,0,1
16,"Header Border Style",general,header-main,borderstyle,#header,border,,0,1
15,"Header Font Size",general,header-main,fontsize,#header,font-size,,0,1
14,"Header Image Pattern",general,header-main,image,.page-header-container,background-image,,0,1
13,"Search Color",general,header-main,text,#search,color,,0,1
12,"Header Background",general,header-main,raw-text,#header,background-color,,0,1
10,"Button Background Color Hover-clone",elements,product,text,".button:hover, .cart-table .product-cart-actions .button:hover, #co-shipping-method-form .buttons-set .button:hover, .footer .button:hover",background-color,,0,2
9,"Button Font Size",elements,product,fontsize,".button, .cart-table .product-cart-actions .button, #co-shipping-method-form .buttons-set .button, .footer .button",font-size,,0,1
8,"Button Color",elements,product,text,".button, .cart-table .product-cart-actions .button, #co-shipping-method-form .buttons-set .button, .footer .button",color,,0,1
7,"All Button Background Color",elements,product,text,".button, .cart-table .product-cart-actions .button, #co-shipping-method-form .buttons-set .button, .footer .button",background-color,,0,1
6,"Background Image",general,body,image,"body .page",background-image,,0,1
5,"Background Color",general,body,text,"body .page",background-color,,1,1
4,"Demo element 1",general,product,textarea,"body .footer",padding,,0,1
3,"footer background color",general,body,text,"body .footer",background-color,,0,1
2,"Add to cart button color",general,product,text,".product-cart ",background-color,,0,1
